i	Energy (cm-1)	gi	J	Uncertainty (cm-1)	Total_Parity	e/f	State	v	Λ	Σ	Ω	Label	Calc
1189	32812.749779	30	7	1.560000	+	f	A1Pi	10	1	0	1	Ca	32812.749779
1190	32812.922486	46	11	2.270000	-	e	X1Sigma+	19	0	0	0	Ca	32812.922486
1191	32813.544299	30	7	1.560000	-	e	A1Pi	10	1	0	1	Ca	32813.544299
1192	32818.619406	26	6	1.420000	+	e	X1Sigma+	20	0	0	0	Ca	32818.619406
1193	32821.169835	62	15	3.300000	-	e	X1Sigma+	18	0	0	0	Ca	32821.169835
1194	32824.336633	98	24	6.400000	-	f	A1Pi	4	1	0	1	Ca	32824.336633
1195	32824.732136	190	47	22.810000	-	e	X1Sigma+	5	0	0	0	Ca	32824.732136
1196	32839.547348	90	22	5.560000	-	f	A1Pi	5	1	0	1	Ca	32839.547348
1197	32840.447409	98	24	6.400000	+	e	A1Pi	4	1	0	1	Ca	32840.447409
1198	32843.691554	106	26	7.320000	-	f	A1Pi	3	1	0	1	Ca	32843.691554
1199	32846.635085	30	7	1.560000	-	e	X1Sigma+	20	0	0	0	Ca	32846.635085
1200	32847.746045	126	31	9.920000	-	e	A1Pi	0	1	0	1	Ca	32847.746045
1201	32852.751687	90	22	5.560000	+	e	A1Pi	5	1	0	1	Ca	32852.751687
1202	32853.775338	34	8	1.720000	-	f	A1Pi	10	1	0	1	Ca	32853.775338
1203	32854.796863	34	8	1.720000	+	e	A1Pi	10	1	0	1	Ca	32854.796863
1204	32857.588452	158	39	16.050000	-	e	X1Sigma+	9	0	0	0	Ca	32857.588452
1205	32860.979749	6	1	1.120000	+	f	A1Pi	11	1	0	1	Ca	32860.979749
1206	32860.998553	6	1	1.120000	-	e	A1Pi	11	1	0	1	Ca	32860.998553
1207	32863.656475	106	26	7.320000	+	e	A1Pi	3	1	0	1	Ca	32863.656475
1208	32869.306324	10	2	1.160000	-	f	A1Pi	11	1	0	1	Ca	32869.306324
1209	32869.315557	50	12	2.460000	-	f	A1Pi	9	1	0	1	Ca	32869.315557
1210	32869.362737	10	2	1.160000	+	e	A1Pi	11	1	0	1	Ca	32869.362737
1211	32872.175668	50	12	2.460000	+	e	A1Pi	9	1	0	1	Ca	32872.175668
1212	32872.389671	50	12	2.510000	+	e	X1Sigma+	19	0	0	0	Ca	32872.389671
1213	32872.694284	62	15	3.200000	+	f	A1Pi	8	1	0	1	Ca	32872.694284
1214	32876.714139	2	0	1.050000	+	e	X1Sigma+	21	0	0	0	Ca	32876.714139
1215	32876.895325	34	8	1.720000	+	e	X1Sigma+	20	0	0	0	Ca	32876.895325
1216	32877.420428	82	20	4.800000	-	f	A1Pi	6	1	0	1	Ca	32877.420428
1217	32877.867092	62	15	3.200000	-	e	A1Pi	8	1	0	1	Ca	32877.867092
1218	32879.482408	6	1	1.070000	-	e	X1Sigma+	21	0	0	0	Ca	32879.482408
1219	32881.567211	14	3	1.220000	+	f	A1Pi	11	1	0	1	Ca	32881.567211
1220	32881.680038	14	3	1.220000	-	e	A1Pi	11	1	0	1	Ca	32881.680038
1221	32884.936739	10	2	1.110000	+	e	X1Sigma+	21	0	0	0	Ca	32884.936739
1222	32888.030218	82	20	4.800000	+	e	A1Pi	6	1	0	1	Ca	32888.030218
1223	32892.909689	14	3	1.170000	-	e	X1Sigma+	21	0	0	0	Ca	32892.909689
1224	32896.078291	226	56	31.920000	+	e	X1Sigma+	0	0	0	0	Ca	32896.078291
1225	32897.478235	18	4	1.300000	-	f	A1Pi	11	1	0	1	Ca	32897.478235
1226	32897.573961	38	9	1.900000	+	f	A1Pi	10	1	0	1	Ca	32897.573961
1227	32897.666279	18	4	1.300000	+	e	A1Pi	11	1	0	1	Ca	32897.666279
1228	32898.850868	38	9	1.900000	-	e	A1Pi	10	1	0	1	Ca	32898.850868
